# UniDic 回文ペアリスト
# 総ペア数: 742
# 回文: 189語
# 異なる単語のペア: 553組

## 異なる単語の回文ペア

### 4文字 (8組)
ぎぶ ↔ ぶぎ
ぎむ ↔ むぎ
ぎや ↔ やぎ
ぎわ ↔ わぎ
くこ ↔ こく
くご ↔ ごく
くさ ↔ さく
くし ↔ しく
くじ ↔ じく
くず ↔ ずく
くせ ↔ せく
くだ ↔ だく
くち ↔ ちく
くつ ↔ つく
くど ↔ どく
くに ↔ にく
くば ↔ ばく
くび ↔ びく
くぼ ↔ ぼく
くま ↔ まく
くも ↔ もく
くら ↔ らく
くり ↔ りく
くろ ↔ ろく
くわ ↔ わく
ぐち ↔ ちぐ
ぐぶ ↔ ぶぐ
ぐり ↔ りぐ
けさ ↔ さけ
けし ↔ しけ
けた ↔ たけ
けつ ↔ つけ
けば ↔ ばけ
げこ ↔ こげ
げじ ↔ じげ
げつ ↔ つげ
こざ ↔ ざこ
こし ↔ しこ
こじ ↔ じこ
こそ ↔ そこ
こて ↔ てこ
こね ↔ ねこ
こふ ↔ ふこ
こみ ↔ みこ
こむ ↔ むこ
こり ↔ りこ
これ ↔ れこ
ごさ ↔ さご
ごし ↔ しご
ごじ ↔ じご
ごち ↔ ちご
ごま ↔ まご
ごろ ↔ ろご
さし ↔ しさ
さじ ↔ じさ
さど ↔ どさ
さま ↔ まさ
さめ ↔ めさ
さや ↔ やさ
さら ↔ らさ
ざし ↔ しざ
しじ ↔ じし
しそ ↔ そし
した ↔ たし
しだ ↔ だし
しち ↔ ちし
しで ↔ でし
しと ↔ とし
しな ↔ なし
しの ↔ のし
しひ ↔ ひし
しふ ↔ ふし
しぶ ↔ ぶし
しぼ ↔ ぼし
しま ↔ まし
しめ ↔ めし
しも ↔ もし
しや ↔ やし
しり ↔ りし
しわ ↔ わし
じす ↔ すじ
じた ↔ たじ
じち ↔ ちじ
じつ ↔ つじ
じど ↔ どじ
じは ↔ はじ
じば ↔ ばじ
じひ ↔ ひじ
じび ↔ びじ
じふ ↔ ふじ
じぶ ↔ ぶじ
じむ ↔ むじ
じよ ↔ よじ
じり ↔ りじ
すで ↔ です
すな ↔ なす
すぱ ↔ ぱす
すみ ↔ みす
すり ↔ りす
すれ ↔ れす
ずふ ↔ ふず
ずみ ↔ みず
ずれ ↔ れず
せみ ↔ みせ
せわ ↔ わせ
ぜろ ↔ ろぜ
そち ↔ ちそ
そと ↔ とそ
そふ ↔ ふそ
そめ ↔ めそ
そや ↔ やそ
たつ ↔ つた
たで ↔ でた
たな ↔ なた
たは ↔ はた
たび ↔ びた
たぶ ↔ ぶた
たま ↔ また
ため ↔ めた
たり ↔ りた
だは ↔ はだ
だふ ↔ ふだ
だむ ↔ むだ
ちつ ↔ つち
ちば ↔ ばち
ちぶ ↔ ぶち
ちま ↔ まち
ちみ ↔ みち
ちよ ↔ よち
ちり ↔ りち
つと ↔ とつ
つな ↔ なつ
つね ↔ ねつ
つば ↔ ばつ
つぼ ↔ ぼつ
つま ↔ まつ
つみ ↔ みつ
つも ↔ もつ
つや ↔ やつ
つり ↔ りつ
てま ↔ まて
とひ ↔ ひと
とみ ↔ みと
とも ↔ もと
とや ↔ やと
どま ↔ まど
どや ↔ やど
どら ↔ らど
なま ↔ まな
なみ ↔ みな
なや ↔ やな
なわ ↔ わな
にべ ↔ べに
にわ ↔ わに
ねま ↔ まね
ねや ↔ やね
のみ ↔ みの
はり ↔ りは
ばら ↔ らば
ひぶ ↔ ぶひ
ひま ↔ まひ
ひや ↔ やひ
びら ↔ らび
びる ↔ るび
びわ ↔ わび
ふま ↔ まふ
ふり ↔ りふ
ふれ ↔ れふ
ぶら ↔ らぶ
ぶり ↔ りぶ
ぼや ↔ やぼ
ぼら ↔ らぼ
まら ↔ らま
みよ ↔ よみ
むら ↔ らむ
むり ↔ りむ
むろ ↔ ろむ
めも ↔ もめ
やゆ ↔ ゆや
やわ ↔ わや

## 回文（左右対称の単語）

### 5文字 (1語)
きつねつき

### 3文字 (107語)
あくあ
あじあ
ありあ
いあい
いえい
いかい
いがい
いぐい
いけい
いこい
いさい
いざい
いせい
いたい
いだい
いちい
いない
いぬい
いはい
いめい
いらい
いるい
いれい
いわい
うおう
うこう
うごう
うぞう
うのう
うほう
うもう
うゆう
うるう
かいか
かくか
かじか
かっか
かぶか
かんか
がいが
きげき
きさき
きせき
きづき
きてき
きびき
きょき
きんき
くかく
くがく
... 他 57 語

### 2文字 (26語)
いい
きき
ぎぎ
ここ
ごご
ささ
しし
じじ
すす
そそ
だだ
ちち
つつ
てて
なな
はは
ばば
ぱぱ
ひひ
へへ
べべ
ぼぼ
まま
みみ
もも
よよ

### 1文字 (55語)
い
う
え
お
か
が
き
ぎ
く
ぐ
け
げ
こ
ご
さ
ざ
し
じ
す
ず
せ
ぜ
そ
た
だ
ち
つ
て
で
と
ど
な
に
ね
の
は
ば
ぱ
ひ
び
ふ
ぶ
へ
ほ
ぼ
ま
み
め
も
や
... 他 5 語

